brand,category,homeUrl,finalUrl,status,homepageCrawlable,structuredData,score,pricing,about,customers,resources,docs,trust,compare,title,fetchError
"HubSpot","CRM / marketing","https://www.hubspot.com","https://www.hubspot.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","HubSpot | Software &amp; Tools for your Business - Homepage",""
"Salesforce","CRM / enterprise","https://www.salesforce.com","https://www.salesforce.com/ap/?ir=1","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Salesforce: The Customer Company | Salesforce AP",""
"Zendesk","Customer support","https://www.zendesk.com","https://www.zendesk.hk/","200","TRUE","FALSE","5","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","人工智能驅動的服務平台 | Zendesk",""
"Intercom","Customer support","https://www.intercom.com","https://www.intercom.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Intercom | The only helpdesk designed for the AI Agent era",""
"Notion","Productivity","https://www.notion.com","https://www.notion.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","The AI workspace that works for you. | Notion",""
"Airtable","Productivity","https://www.airtable.com","https://www.airtable.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Airtable: Build Enterprise-ready AI Workflows, Apps &amp; Agents | Airtable",""
"Asana","Project management","https://asana.com","https://asana.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Work &amp; Project Management for Human-Agent Teams • Asana",""
"Monday.com","Project management","https://monday.com","https://monday.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","The AI Work Platform for People &amp; Agents | monday.com",""
"ClickUp","Project management","https://clickup.com","https://clickup.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","ClickUp™ | Maximize productivity • Software, AI, and humans converge",""
"Linear","Product management","https://linear.app","https://linear.app/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","",""
"Figma","Design","https://www.figma.com","https://www.figma.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Figma: The Collaborative Interface Design Tool",""
"Canva","Design","https://www.canva.com","https://www.canva.com/","403","FALSE","FALSE","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Canva",""
"Miro","Collaboration","https://miro.com","https://miro.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","AI Innovation Workspace | Miro",""
"Typeform","Forms","https://www.typeform.com","https://www.typeform.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","Forms &amp; Automated Workflows, Powered by AI | Typeform",""
"SurveyMonkey","Forms","https://www.surveymonkey.com","https://www.surveymonkey.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","SurveyMonkey: The World’s Most Popular Survey Platform",""
